Rk,Year,Date,Tm,,Opp,Rslt,Name,Gcar,Gtm,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Name-additional
8,2019,Aug 3,HOU,,SEA,W9-0,Aaron Sanchez,147,112,GS-6,W,5,6.0,0,0,0,2,6,0,1,5.76,,21,92,55,20,12,6,6,1,0,0,76,1,0,0,18,0,0,0,0,0,0,.66,0.285,.32,0.08%,3.42,sanchaa01
,,,,,,,Will Harris,398,112,7-7,,3,1.0,0,0,0,1,0,0,0,1.73,,3,12,5,2,0,2,0,0,0,0,,0,0,0,2,0,0,0,1,0,0,.25,0.012,.12,0.00%,0.57,harriwi10
,,,,,,,Joe Biagini,205,112,8-8,,2,1.0,0,0,0,1,1,0,0,3.71,,4,22,12,4,2,2,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,.08,0.004,.04,0.00%,0.57,biagijo01
,,,,,,,Chris Devenski,203,112,9-GF,,1,1.0,0,0,0,0,1,0,0,4.22,,3,12,8,1,1,1,1,0,0,0,,0,0,0,3,0,0,0,0,0,0,.00,0.000,.00,0.00%,0.57,devench02
9,2019,Jul 12,LAA,,SEA,W13-0,Taylor Cole,33,92,GS-2,,4,2.0,0,0,0,0,2,0,0,4.15,,6,22,13,4,5,2,2,1,0,0,58,0,0,0,6,0,0,0,0,0,0,.42,0.067,.15,0.02%,1.11,coleta01
,,,,,,,Félix Peña,73,92,3-GF,W,6,7.0,0,0,0,1,6,0,0,4.32,,22,81,52,11,15,11,4,1,0,0,,0,0,0,21,0,0,0,0,0,0,.04,0.019,.01,0.00%,3.87,penafe01
10,2018,May 4,LAD,@,SDP,W4-0,Walker Buehler,11,32,GS-6,W,5,6.0,0,0,0,3,8,0,0,1.12,,20,93,59,20,10,5,4,3,0,0,77,0,0,0,17,0,0,0,0,0,0,.81,0.264,.59,0.12%,2.70,buehlwa01
,,,,,,,Tony Cingrani*,202,32,7-7,,1,1.0,0,0,0,2,1,0,0,5.25,,5,24,13,5,0,1,1,1,0,0,,0,0,0,3,0,0,0,0,0,0,.90,0.029,.65,0.01%,0.45,cingrto01
,,,,,,,Yimi García,78,32,8-8,,0,1.0,0,0,0,0,2,0,0,0.00,,3,14,11,3,4,1,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,.31,0.023,.23,0.01%,0.45,garciyi01
,,,,,,,Adam Liberatore*,109,32,9-GF,,2,1.0,0,0,0,0,2,0,0,3.00,,3,15,10,3,3,0,1,0,0,0,,0,0,0,3,0,0,0,0,0,0,.20,0.015,.15,0.01%,0.45,liberad01
11,2014,Sep 1,PHI,@,ATL,W7-0,Cole Hamels*,270,137,GS-6,W,5,6.0,0,0,0,5,7,0,1,2.50,,24,108,66,11,18,4,7,2,1,0,74,4,0,0,18,0,0,0,0,0,0,1.47,0.350,.00,0.00%,2.60,hamelco01
,,,,,,,Jake Diekman*,141,137,7-7,,2,1.0,0,0,0,0,2,0,0,3.68,,3,15,10,3,2,1,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,.20,0.015,.00,0.00%,0.43,diekmja01
,,,,,,,Ken Giles,34,137,8-8,,1,1.0,0,0,0,0,3,0,0,1.26,,3,15,11,1,4,0,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,.14,0.011,.00,0.00%,0.43,gileske01
,,,,,,,Jonathan Papelbon,585,137,9-GF,,1,1.0,0,0,0,0,0,0,0,1.54,,3,9,7,4,0,1,2,1,0,0,,0,0,0,3,0,0,0,0,0,0,.01,0.001,.00,0.00%,0.43,papeljo01
12,2012,Jun 8,SEA,,LAD,W1-0,Kevin Millwood,435,60,GS-6,,4,6.0,0,0,0,1,6,0,0,3.57,,18,68,42,17,5,4,7,1,2,0,77,0,0,0,17,0,0,0,1,0,0,.83,0.342,.58,0.14%,2.73,millwke01
,,,,,,,Stephen Pryor,4,60,7-8,W,1,0.1,0,0,0,2,1,0,0,2.08,,3,15,4,1,2,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,2.65,-0.158,1.86,-0.07%,-0.67,pryorst01
,,,,,,,Charlie Furbush*,48,60,7-7,,5,0.2,0,0,0,0,1,0,0,3.15,,3,10,7,2,3,1,1,0,0,0,,0,0,0,3,0,0,0,0,0,1,1.62,0.023,1.13,0.01%,0.15,furbuch01
,,,,,,,Lucas Luetge*,21,60,8-8,H,4,0.1,0,0,0,0,0,0,0,0.00,,1,3,2,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,4.47,-0.002,3.14,0.00%,0.07,luetglu01
,,,,,,,Brandon League,330,60,8-8,H,1,0.2,0,0,0,0,1,0,0,3.67,,2,9,8,2,3,0,1,1,0,0,,0,0,0,2,0,0,0,0,0,0,4.49,0.336,3.15,0.14%,1.35,leagubr01
,,,,,,,Tom Wilhelmsen,53,60,9-GF,S,1,1.0,0,0,0,0,0,0,0,3.38,,3,9,8,2,1,2,1,1,0,0,,0,0,0,3,0,0,0,0,0,0,2.06,0.152,1.44,0.06%,0.46,wilheto01
13,2003,Jun 11,HOU,@,NYY,W8-0,Roy Oswalt,75,65,GS-1,,5,1.0,0,0,0,0,2,0,0,3.05,,3,21,15,2,3,0,1,0,0,0,55,0,0,0,3,0,0,0,0,0,0,.67,0.052,.91,0.04%,0.53,oswalro01
,,,,,,,Peter Munro,85,65,2-4,,5,2.2,0,0,0,3,2,0,1,5.30,,13,57,27,8,4,5,2,0,0,0,,1,0,0,9,0,0,0,0,0,1,.95,0.119,1.30,0.10%,1.36,munrope01
,,,,,,,Kirk Saarloos,28,65,4-5,,3,1.1,0,0,0,0,1,0,0,5.94,,4,16,10,2,2,1,2,1,0,0,,0,0,0,4,0,0,0,0,0,0,.57,0.060,.77,0.05%,0.78,saarlki01
,,,,,,,Brad Lidge,37,65,6-7,W,4,2.0,0,0,0,0,2,0,0,1.41,,6,23,15,4,3,1,3,1,0,0,,0,0,0,6,0,0,0,0,0,0,.40,0.063,.55,0.05%,1.07,lidgebr01
,,,,,,,Octavio Dotel,244,65,8-8,,2,1.0,0,0,0,0,4,0,0,1.77,,4,20,15,2,6,0,0,0,0,0,,0,0,0,4,0,0,0,0,0,0,.14,0.008,.20,0.01%,0.53,doteloc01
,,,,,,,Billy Wagner*,419,65,9-GF,,2,1.0,0,0,0,0,2,0,0,1.69,,3,14,11,2,3,1,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,.01,0.001,.01,0.00%,0.53,wagnebi02
