
Rank	Player (yrs, age)	Wins Above Replacement	PA	IP	Bats/Throws
 	Tim Salmon (14)	40.5	7039		R
 	Cy Seymour (16)	40.5	6227	1038.0	L
 	Jim Sundberg (16)	40.5	6899		R
538.	Pete Browning (13)	40.4	5315	0.1	R
 	Virgil Trucks (17)	40.4	1012	2682.1	R
540.	Andy Messersmith (12)	40.2	826	2230.1	R
 	David Price (14)	40.2	71	2143.2	L
 	Smoky Joe Wood (14)	40.2	2282	1434.1	R
543.	Albert Belle (12)	40.1	6676		R
 	Dave Concepción (19)	40.1	9641	1.1	R
 	Dave Parker (19)	40.1	10184		L
 	Ryan Zimmerman (16)	40.1	7402		R
547.	Al Leiter (19)	40.0	613	2391.0	L
 	Clyde Milan (16)	40.0	8338		L
 	Tom Zachary (19)	40.0	1236	3126.1	L
550.	Moisés Alou (17)	39.9	7913		R

 	George Gore (14)	39.9	6104		L
552.	George Burns (15)	39.8	8254		R
 	Danny Darwin (21)	39.8	334	3016.2	R
 	Anthony Rizzo (14, 34)	39.8	7336	1.0	L
 	Reggie Sanders (17)	39.8	7043		R
556.	Pink Hawley (10)	39.7	1307	3012.2	L
557.	Alex Bregman (9, 30)	39.6	4832		R
 	Tommy Henrich (11)	39.6	5411		L
 	Maury Wills (14)	39.6	8306		B
560.	Rafael Furcal (14)	39.5	7237		B
 	Babe Herman (13)	39.5	6230		L
 	Lance Parrish (19)	39.5	7797		R
563.	Jesse Barfield (12)	39.4	5394		R
 	Donie Bush (16)	39.4	8774		B
 	George Cuppy (10)	39.4	1066	2283.0	R
 	Jake Daubert (15)	39.4	8749		L
 	Bill Dinneen (12)	39.4	1281	3074.2	L
 	Jon Matlack (13)	39.4	541	2363.0	L
569.	Curt Davis (13)	39.2	904	2325.0	R
 	Jake Peavy (15)	39.2	598	2377.0	R
571.	Carl Crawford (15)	39.1	7178		L
 	Howard Ehmke (15)	39.1	1089	2820.2	R
 	Rico Petrocelli (13)	39.1	6171		R
 	Boog Powell (17)	39.1	7810		L
575.	Bill Hutchison (9)	38.9	1425	3079.1	R
 	Russell Martin (14)	38.9	6648	4.0	R
 	Paul O'Neill (17)	38.9	8329	2.0	L
578.	Harold Baines+ (22)	38.8	11092		L
 	Charlie Bennett (15)	38.8	4310		R
 	Magglio Ordóñez (15)	38.8	7745		R
581.	Lefty Gomez+ (14)	38.7	1024	2503.0	L
 	Juan González (17)	38.7	7155		R
 	Ed McKean (13)	38.7	7626		R
 	Don Newcombe (12)	38.7	1033	2251.2	L
 	Pie Traynor+ (17)	38.7	8298		R
 	Hack Wilson+ (12)	38.7	5557		R
587.	Kent Hrbek (14)	38.6	7137		L
 	Starling Marte (13, 35)	38.6	5978		R
 	Bill White (13)	38.6	6680		L
590.	Lorenzo Cain (13)	38.5	4758		R
 	Jeff Pfeffer (13)	38.5	932	2407.1	R
 	Lonnie Smith (17)	38.5	5952		R
 	Tim Wallach (17)	38.5	8908	2.0	R
594.	Johnny Callison (16)	38.4	7437		L
 	Matt Chapman (8, 31)	38.4	4235		R
 	Kirk Gibson (17)	38.4	6656		L
 	Charlie Hough (25)	38.4	250	3801.1	R
 	Ed Morris (7)	38.4	1157	2678.0	B
599.	Eric Chavez (17)	38.3	6228		L
 	Chili Davis (19)	38.3	9997	2.0	B

 	Harry Davis (22)	38.3	7390		R
 	Bill Madlock (15)	38.3	7372		R
 	Roger Maris (12)	38.3	5847		L
 	Justin Turner (16, 39)	38.3	6311	1.0	R
605.	Max Bishop (12)	38.2	5793		L
 	Ray Brown+ (14)	38.2	1407	1480.2	B
 	Sid Gordon (13)	38.2	5814		R
 	Ray Lankford (14)	38.2	6675		L
609.	Josh Gibson+ (14)	38.1	2526	1.2	R
 	Troy Glaus (13)	38.1	6355		R
611.	Steve Garvey (19)	38.0	9466		R
 	Hanley Ramírez (15)	38.0	7127		R
 	Carlos Santana (15, 38)	38.0	8780		B
614.	Gus Weyhing (14)	37.8	1980	4337.0	R
615.	Paul Blair (17)	37.7	6673		R
 	Jeff Heath (14)	37.7	5561		L
 	Ernie Lombardi+ (17)	37.7	6353		R
 	Terry Turner (17)	37.7	6666		R
619.	Lu Blue (13)	37.6	7223		B
 	Frank Howard (16)	37.6	7353		R
 	George Kell+ (15)	37.6	7529		R
 	Dick McAuliffe (16)	37.6	7162		L
 	Charlie Root (17)	37.6	1192	3197.1	R
624.	Jim Maloney (12)	37.5	696	1849.0	L
625.	Mark Gubicza (14)	37.4	0	2223.1	R
 	José Reyes (16)	37.4	8240	1.0	B
 	Cy Williams (19)	37.4	7727		L
628.	Madison Bumgarner (15)	37.3	731	2209.1	R
 	Guy Hecker (9)	37.3	3052	2924.0	R
 	John Lackey (15)	37.3	265	2840.1	R
 	George Springer (11, 34)	37.3	5789		R
632.	Jay Bell (18)	37.1	8525		R
 	Andrelton Simmons (11)	37.1	4816	1.0	R
634.	Dusty Baker (19)	37.0	8022		R
 	Bullet Joe Bush (17)	37.0	1324	3085.1	R
 	Fred Dunlap (12)	37.0	4264	2.2	R
 	Dutch Leonard (11)	37.0	817	2192.0	L
 	Kip Selbach (13)	37.0	7122		R
639.	Herman Long (16)	36.9	8512		L
 	Kyle Seager (11)	36.9	6204		L
641.	Phil Cavarretta (22)	36.8	7703		L
 	Dick Groat (14)	36.8	8180		R
 	Garry Maddox (15)	36.8	6777		R
 	Corey Seager (10, 30)	36.8	4442		L
 	Rube Walberg (15)	36.8	1005	2644.0	L
 	Earl Whitehill (17)	36.8	1451	3564.2	L
647.	José Bautista (15)	36.7	7244		R
648.	Wally Moses (17)	36.6	8256		L
 	Andy Pafko (17)	36.6	7028		R
 	George Scott (14)	36.6	8269		R

 	Mule Suttles+ (21)	36.6	3623	16.0	R
652.	Ray Caldwell (12)	36.5	1270	2242.0	L
 	Candy Cummings+ (6)	36.5	1084	2149.2	R
 	Kevin Kiermaier (12, 34)	36.5	4040		L
 	Bill Mazeroski+ (17)	36.5	8379		R
 	Don Money (16)	36.5	6998		R
 	José Rijo (14)	36.5	511	1880.0	R
658.	Bill Bradley (14)	36.4	6052	1.0	R
 	Juan Soto (7, 25)	36.4	4088		L
660.	J.T. Realmuto (11, 33)	36.3	4992		R
 	Trea Turner (10, 31)	36.3	4967		R
 	Rick Wise (18)	36.3	741	3127.1	R
663.	Don Buford (10)	36.2	5347		B
 	Johnny Cueto (17, 38)	36.2	655	2256.1	R
665.	Eric Davis (17)	36.1	6147		R
 	Art Devlin (10)	36.1	5250		R
667.	Cecil Cooper (17)	36.0	7939		L
 	Paul Derringer (15)	36.0	1357	3645.0	R
 	Bob Rush (13)	36.0	872	2410.2	R
670.	Fritz Ostermueller (15)	35.9	823	2066.2	L
 	Freddy Parent (12)	35.9	5592		R
672.	Jim Bottomley+ (16)	35.8	8358		L
 	Freddie Fitzsimmons (19)	35.8	1264	3223.2	R
 	Wally Joyner (16)	35.8	8115		L
675.	Josh Beckett (14)	35.7	335	2051.0	R
 	Tommy Holmes (11)	35.7	5566		L
 	Willie Kamm (13)	35.7	6946		R
 	Danny Murphy (16)	35.7	5996		R
 	Ed Williamson (13)	35.7	5082	35.0	R
680.	Burt Hooton (15)	35.6	913	2652.0	R
 	Deacon Phillippe (13)	35.6	1070	2607.0	R
 	Ed Reulbach (13)	35.6	985	2632.1	R
683.	Edwin Encarnación (16)	35.5	8126		R
 	Denny Lyons (13)	35.5	5029		R
 	Salvador Perez (13, 34)	35.5	6263		R
 	Mickey Vernon (20)	35.5	9839		L
687.	Dave Foutz (13)	35.4	4859	1997.1	R
 	Miller Huggins+ (13)	35.4	6825		B
 	Rick Rhoden (16)	35.4	830	2593.2	R
690.	Aaron Nola (10, 31)	35.3	318	1621.1	R
 	Jack Taylor (10)	35.3	1165	2626.0	R
692.	Zack Wheeler (10, 34)	35.2	323	1578.2	L
693.	Dan Haren (13)	35.1	478	2419.2	R
 	Jerry Reuss (22)	35.1	1195	3669.2	L
695.	Doyle Alexander (19)	35.0	300	3367.2	R
 	Brady Anderson (15)	35.0	7737		L
 	George Burns (16)	35.0	7249		R
 	Tom Gordon (21)	35.0	2	2108.0	R
 	Bump Hadley (16)	35.0	1147	2945.2	R
 	Howie Kendrick (15)	35.0	6421		R

 	Brickyard Kennedy (12)	35.0	1342	3030.0	R
 	Eddie Yost (18)	35.0	9177		R
703.	Ron Fairly (21)	34.9	8437		L
 	Will White (10)	34.9	1537	3542.2	B
705.	William Bell (14)	34.8	731	1438.2	R
 	Jimmy Dykes (22)	34.8	9353	2.0	R
 	Frank White (18)	34.8	8468		R
708.	Cool Papa Bell+ (21)	34.7	5361	309.2	B
 	Shawn Green (15)	34.7	7963		L
 	Stuffy McInnis (19)	34.7	8642		R
 	Claude Ritchey (13)	34.7	6858		B
 	Bobby Shantz (16)	34.7	646	1935.2	R
713.	Shin-Soo Choo (16)	34.6	7157		L
 	Carl Furillo (15)	34.6	7022		R
 	Derrek Lee (15)	34.6	7963		R
 	Jered Weaver (12)	34.6	57	2067.1	R
717.	Jeff Cirillo (14)	34.5	6136	1.0	R
 	Ken Griffey (19)	34.5	8049		L
 	Pedro Guerrero (15)	34.5	6115		R
720.	Travis Fryman (13)	34.4	7217		R
 	Alex Gordon (14)	34.4	7250	2.1	L
 	Frank Killen (10)	34.4	1148	2511.1	L
 	Howie Pollet (14)	34.4	790	2107.1	L
 	B.J. Surhoff (19)	34.4	9106		L
 	Tim Wakefield (19)	34.4	130	3226.1	R
726.	Michael Brantley (15)	34.3	6149		L
 	Thornton Lee (16)	34.3	886	2331.1	L
 	Derek Lowe (17)	34.3	534	2671.1	R
 	Slim Sallee (14)	34.3	1032	2821.2	R
730.	Elvis Andrus (15)	34.2	8603		R
 	Chris Carpenter (15)	34.2	501	2219.1	R
 	Freddy García (15)	34.2	99	2264.0	R
 	Harry Howell (13)	34.2	1519	2567.2	R
 	Willie McGee (18)	34.2	8188		B
 	Johnny Pesky (10)	34.2	5516		L
 	John Tudor (12)	34.2	443	1797.0	L
737.	Bob Allison (13)	34.1	5924		R
 	Russ Ford (7)	34.1	571	1487.1	R
 	Ron Gant (16)	34.1	7320		R
 	Bruce Hurst (15)	34.1	331	2417.1	L
 	Marty McManus (15)	34.1	7567		R
742.	Corey Kluber (13)	34.0	32	1641.2	R
 	Dan McGann (12)	34.0	6057		B
 	Ken McMullen (16)	34.0	5731		R
745.	Tony Cuccinello (15)	33.9	6880		R
 	Rick Sutcliffe (18)	33.9	657	2697.2	L
747.	Ray Durham (14)	33.8	8423		B
 	George Grantham (13)	33.8	5900		L
 	Billy Nash (15)	33.8	6742	1.1	R
 	Robby Thompson (11)	33.8	5235		R

751.	Anthony Rendon (12, 34)	33.7	5022		R
752.	Nick Markakis (15)	33.6	9321		L
 	Bobby Thomson (15)	33.6	6961		R
 	Heinie Zimmerman (13)	33.6	5744		R
755.	Joe Adcock (17)	33.5	7305		R
 	Dom DiMaggio (11)	33.5	6478		R
 	Mark Ellis (12)	33.5	5728		R
758.	Smoky Burgess (18)	33.4	5014		L
 	Ken Caminiti (15)	33.4	7127		B
 	Elbie Fletcher (12)	33.4	5828		L
761.	Kid Elberfeld (14)	33.3	5296		R
 	Harvey Haddix (14)	33.3	871	2235.0	L
 	Charlie Leibrandt (14)	33.3	315	2308.0	R
 	Dwayne Murphy (12)	33.3	5242		L
 	Jud Wilson+ (21)	33.3	3563		L
766.	Ken Keltner (13)	33.2	6316		R
 	Johnny Logan (13)	33.2	5893		R
 	Gene Woodling (17)	33.2	6618		L
769.	Yu Darvish (12, 37)	33.1	165	1706.0	R
 	Rick Monday (19)	33.1	7162		L
 	Earl Torgeson (15)	33.1	6046		L
772.	Ray Schalk+ (18)	33.0	6242		R
773.	Gavy Cravath (11)	32.9	4663		R
 	Jim Devlin (5)	32.9	1202	1405.0	R
 	Richie Hebner (18)	32.9	7027		L
 	Brian Jordan (15)	32.9	5646		R
 	Van Mungo (14)	32.9	838	2113.0	R
778.	Bill Doran (12)	32.8	5922		B
 	Ron Hunt (12)	32.8	6158		R
 	Matt Olson (9, 30)	32.8	4473		L
 	Riggs Stephenson (14)	32.8	5136		R
782.	Rico Carty (15)	32.7	6318		R
 	Sid Fernandez (15)	32.7	629	1866.2	L
 	Jesse Haines+ (19)	32.7	1215	3208.2	R
 	Mickey Rivers (15)	32.7	6027		L
 	Ross Youngs+ (10)	32.7	5337		L
787.	Mort Cooper (11)	32.6	724	1840.2	R
 	Pat Hentgen (14)	32.6	97	2075.1	R
 	Adam Jones (14)	32.6	7516		R
 	Sam West (16)	32.6	6974		L
791.	Billy Hoy (14)	32.5	8386		L
 	Rube Marquard+ (18)	32.5	1197	3306.2	B
 	John Valentin (11)	32.5	4511		R
 	Jimmy Williams (11)	32.5	6138		R
795.	Aramis Ramírez (18)	32.4	8986		R
 	Édgar Rentería (16)	32.4	9066		R
 	Al Rosen (10)	32.4	4374		R
 	Joe Start (16)	32.4	4907		L
 	Ezra Sutton (18)	32.4	5537	6.0	R
 	Kevin Youkilis (10)	32.4	4436		R

801.	Roy Cullenbine (10)	32.3	4787		B
 	Darin Erstad (14)	32.3	6628		L
 	Vern Law (16)	32.3	1003	2672.0	R
 	Stephen Strasburg (13)	32.3	521	1470.0	R
 	Justin Upton (16)	32.3	7649		R
806.	John Denny (13)	32.2	656	2148.2	R
 	Eddie Lopat (12)	32.2	999	2439.1	L
808.	Monte Irvin+ (18)	32.1	4062		R
 	Bobby Murcer (17)	32.1	7718		L
 	Sonny Siebert (12)	32.1	725	2152.0	R
811.	Sonny Gray (12, 34)	32.0	118	1737.1	R
 	Víctor Martínez (16)	32.0	8166		B
 	Brian McCann (15)	32.0	6850		L
814.	Johnny Antonelli (12)	31.9	745	1992.1	L
 	Larry Dierker (14)	31.9	876	2333.2	R
 	Scott Fletcher (15)	31.9	5976		R
 	Barry Zito (15)	31.9	418	2576.2	L
818.	Marty Marion (13)	31.8	6143		R
819.	Charlie Ferguson (4)	31.7	1078	1514.2	B
 	Andrés Galarraga (19)	31.7	8916		R
 	Claude Hendrix (10)	31.7	991	2371.1	R
 	Frank McCormick (13)	31.7	6207		R
 	Wally Pipp (15)	31.7	7837		L
824.	Ed Brandt (11)	31.6	878	2268.1	L
 	Chick Stahl (10)	31.6	5718	2.0	L
 	José Valentín (16)	31.6	6317		B
 	Rudy York (13)	31.6	6723		R
828.	Andy Benes (14)	31.5	880	2505.1	R
 	Eddie Joost (17)	31.5	6791		R
 	Shane Victorino (12)	31.5	5164		R
831.	Ted Kluszewski (15)	31.4	6470		L
 	Bill Lee (14)	31.4	1099	2864.0	R
 	Bill Russell (18)	31.4	8021		R
834.	Mike Boddicker (14)	31.3	0	2123.2	R
 	Chick Hafey+ (13)	31.3	5116		R
 	Topsy Hartsel (14)	31.3	5842		L
837.	Jacoby Ellsbury (11)	31.2	5375		L
 	Ketel Marte (10, 30)	31.2	4536		B
 	Adonis Terry (14)	31.2	2555	3514.1	R
840.	Duke Farrell (18)	31.1	6269		B
 	Bill Sherdel (15)	31.1	1071	2709.1	L
 	Brandon Webb (7)	31.1	457	1319.2	R
843.	Bill Joyce (8)	31.0	4163		L
 	Ken Raffensberger (15)	31.0	779	2151.2	R
845.	Orlando Hudson (11)	30.9	5413		B
 	Hunter Pence (14)	30.9	7006		R
 	Trevor Story (9, 31)	30.9	3806		R
 	Greg Vaughn (15)	30.9	7070		R
849.	Jim Bagby (9)	30.8	727	1821.2	B
 	Rick Ferrell+ (18)	30.8	7076		R

851.	Jim Barr (12)	30.7	601	2065.1	R
 	Ice Box Chamberlain (10)	30.7	1146	2521.2	R
 	Firpo Marberry (14)	30.7	731	2067.1	R
 	James Shields (13)	30.7	154	2616.0	R
 	Hank Thompson (12)	30.7	4217		L
856.	Willis Hudlin (16)	30.6	1006	2613.1	R
 	Chris Speier (19)	30.6	8155		R
858.	Ginger Beaumont (12)	30.5	6313		L
 	Bill Byrd (15)	30.5	880	1366.1	B
 	Arlie Latham (17)	30.5	7524		R
 	Sal Maglie (10)	30.5	645	1723.0	R
 	J.D. Martinez (14, 36)	30.5	6865		R
 	Jose Quintana (13, 35)	30.5	184	1969.2	R
 	Greg Swindell (17)	30.5	286	2233.1	R
865.	Mike Garcia (14)	30.4	792	2174.2	R
 	Mike Hargrove (12)	30.4	6694		L
 	John Hiller (15)	30.4	108	1242.0	R
 	Frank Lary (12)	30.4	830	2162.1	R
 	Gary Matthews (16)	30.4	8189		R
 	Joe Nuxhall (16)	30.4	861	2302.2	L
 	Jhonny Peralta (15)	30.4	7319		R
 	Harry Steinfeldt (14)	30.4	6712		R
 	Cecil Travis (12)	30.4	5417		L
874.	José Abreu (11, 37)	30.3	6220		R
 	Teddy Higuera (9)	30.3	0	1380.0	B
 	Joe Kuhel (18)	30.3	9097		L
877.	Bobby Bonilla (16)	30.2	8257	1.0	B
 	Lance Johnson (14)	30.2	5800		L
 	Max Lanier (14)	30.2	599	1619.1	R
 	Woody Williams (15)	30.2	617	2216.1	R
 	Hooks Wiltse (12)	30.2	835	2112.1	R
882.	Sherm Lollar (18)	30.1	6221		R
 	Kevin McReynolds (12)	30.1	6039		R
884.	Del Ennis (14)	30.0	7944		R
 	Liván Hernández (17)	30.0	1113	3189.0	R
 	Buck Leonard+ (14)	30.0	2614		L
 	Lance Lynn (13, 37)	30.0	333	2006.1	B
 	John Titus (11)	30.0	5842		L
889.	Dean Chance (11)	29.9	759	2147.1	R
 	Bob Ewing (11)	29.9	955	2301.0	R
 	Von Hayes (12)	29.9	6052		L
 	Pete Runnels (14)	29.9	7329		L
893.	DJ LeMahieu (14, 35)	29.8	6680		R
 	Kevin Millwood (16)	29.8	550	2720.1	R
 	Johnny Podres (15)	29.8	852	2265.0	L
 	Hal Trosky (11)	29.8	5750		L
 	Lloyd Waner+ (18)	29.8	8337		L
898.	Brandon Belt (13)	29.7	5483		L
 	Asdrúbal Cabrera (15)	29.7	7401	1.1	B
 	Phil Garner (16)	29.7	6861		R

 	Javy López (15)	29.7	5793		R
 	Joe Niekro (22)	29.7	1165	3584.1	R
 	Preacher Roe (12)	29.7	722	1914.1	R
904.	Marquis Grissom (17)	29.6	8959		R
 	Dick McBride (6)	29.6	1209	2082.0	
 	Bing Miller (16)	29.6	6896		R
 	Hal Schumacher (13)	29.6	961	2482.1	R
908.	Raúl Mondesí (13)	29.5	6369		R
 	Brian Roberts (14)	29.5	6253		B
 	Jason Schmidt (14)	29.5	712	1996.1	R
911.	Johnny Sain (11)	29.4	857	2125.2	R
 	Charles Zimmer (19)	29.4	5078		R
913.	Ray Chapman (9)	29.3	4608		R
 	Brandon Crawford (14, 37)	29.3	6318	2.1	L
 	Tom Haller (12)	29.3	4520		L
 	Buddy Lewis (11)	29.3	5940		L
 	Jim Piersall (17)	29.3	6593		R
 	Mickey Tettleton (14)	29.3	5745		B
919.	Doug Drabek (13)	29.2	808	2535.0	R
 	Dutch Ruether (11)	29.2	1074	2124.2	L
 	Kevin Tapani (13)	29.2	311	2265.0	R
 	Jayson Werth (15)	29.2	6366		R
923.	Matt Cain (13)	29.1	708	2085.2	R
 	Luis Castillo (15)	29.1	7471		B
 	George Hendrick (18)	29.1	7834		R
 	Johnny Kling (13)	29.1	4655		R
 	Kevin Mitchell (13)	29.1	4696		R
928.	Benny Kauff (8)	29.0	3566		L
 	Tino Martinez (16)	29.0	8044		L
 	Nip Winters (8)	29.0	690	1114.2	L
931.	Coco Crisp (15)	28.9	6627		B
 	Baby Doll Jacobson (11)	28.9	6078		R
 	Ellis Kinder (12)	28.9	499	1479.2	R
 	Art Nehf (15)	28.9	1047	2707.2	L
 	Red Rolfe (10)	28.9	5407		L
 	Lee Smith+ (18)	28.9	71	1289.1	R
 	Elmer Valo (20)	28.9	6092		L
938.	John Anderson (14)	28.8	6785		B
 	Bob Bailey (17)	28.8	7043		R
 	A.J. Burnett (17)	28.8	575	2731.1	R
 	Matt Carpenter (14, 38)	28.8	5773	1.1	L
 	Mike Donlin (12)	28.8	4294	16.1	L
 	Kevin Seitzer (12)	28.8	6062	0.1	R
944.	Edgardo Alfonzo (12)	28.7	6108		R
 	Ossie Bluege (18)	28.7	7458		R
 	Billy Jurges (17)	28.7	7018		R
 	Henry Larkin (10)	28.7	5303		R
 	Gary Peters (14)	28.7	875	2081.0	L
 	Chris Short (15)	28.7	786	2325.0	R
950.	Lew Burdette (18)	28.6	1124	3067.1	R

 	Alfonso Soriano (16)	28.6	8395		R
 	Vernon Wells (15)	28.6	7212		R
953.	Don Baylor (19)	28.5	9401		R
 	Alex Fernandez (10)	28.5	146	1760.1	R
 	Freddie Lindstrom+ (13)	28.5	6109		R
956.	Bobby Ávila (11)	28.4	5344		R
 	Brandon Phillips (17)	28.4	7992		R
 	Jack Rowe (12)	28.4	4626		L
959.	Gio Gonzalez (13)	28.3	475	1933.0	R
 	Carlos Lee (14)	28.3	8787		R
 	Sixto Lezcano (12)	28.3	4814		R
 	Tim McCarver (21)	28.3	6206		L
 	Lee Meadows (15)	28.3	1201	3160.2	L
 	Bob Meusel (11)	28.3	6031		R
 	Terry Pendleton (15)	28.3	7637		B
 	Terry Puhl (15)	28.3	5480		L
 	César Tovar (12)	28.3	6177	1.0	R
968.	Josh Hamilton (9)	28.2	4350		L
 	Mike Hampton (16)	28.2	845	2268.1	R
 	Lindy McDaniel (21)	28.2	412	2139.1	R
 	Melvin Mora (13)	28.2	6158		R
 	Jarrod Washburn (12)	28.2	53	1863.2	L
 	Bob Watson (19)	28.2	6962		R
 	Rondell White (15)	28.2	5852		R
975.	J.J. Hardy (13)	28.1	6309		R
 	Paul Konerko (18)	28.1	9505		R
 	Reb Russell (9)	28.1	1063	1291.2	L
978.	Del Crandall (16)	28.0	5584		R
 	Trevor Hoffman+ (18)	28.0	36	1089.1	R
 	Denis Menke (13)	28.0	5936		R
 	Aníbal Sánchez (16)	28.0	400	2017.2	R
 	Terry Steinbach (14)	28.0	5905		R
983.	General Crowder (11)	27.9	929	2344.1	L
 	Hal McRae (19)	27.9	8059		R
 	George Mogridge (15)	27.9	843	2265.2	L
 	Mike Moore (14)	27.9	1	2831.2	R
 	Roy Smalley (13)	27.9	6596		B
 	Denard Span (11)	27.9	5956		L
 	Amos Strunk (17)	27.9	5828		L
990.	Clete Boyer (16)	27.8	6368		R
 	Jackie Jensen (11)	27.8	6080		R
 	Jack McDowell (12)	27.8	0	1889.0	R
 	Jouett Meekin (10)	27.8	1172	2605.1	R
 	Grady Sizemore (10)	27.8	4724		L
 	Garry Templeton (16)	27.8	8208		B
996.	Ross Barnes (9)	27.7	2507	1.1	R
 	Carlos Guillén (14)	27.7	5277		B
 	Marcell Ozuna (12, 33)	27.7	6123		R
 	Billy Wagner (16)	27.7	21	903.0	L
 	Don Wilson (9)	27.7	664	1748.1	R
