player_name,war,playerID
Jake Beckley,61.2,becklja01
Early Wynn,61.0,wynnea01
Tommy Bond,60.9,bondto01
Charlie Buffinton,60.7,buffich01
Willie Davis,60.7,daviswi02
Freddie Freeman,60.7,freemfr01
Gary Sheffield,60.5,sheffga01
Jim Edmonds,60.4,edmonji01
Zack Wheat,60.4,wheatza01
Keith Hernandez,60.3,hernake01
Harmon Killebrew,60.3,killeha01
Dazzy Vance,60.3,vanceda01
Bobby Abreu,60.2,abreubo01
Andy Pettitte,60.2,pettian01
Al Spalding,60.2,spaldal01
Wes Ferrell,60.1,ferrewe01
Ichiro Suzuki,60.0,suzukic01
Jesse Burkett,59.7,burkeje01
Yogi Berra,59.5,berrayo01
Jim Bunning,59.5,bunniji01
Bob Caruthers,59.5,carutbo01
Vladimir Guerrero,59.5,guerrvl02
Mike Piazza,59.5,piazzmi01
Sherry Magee,59.4,mageesh01
Mark Buehrle,59.1,buehrma01
Eddie Cicotte,59.1,cicoted01
Cole Hamels,59.0,hamelco01
Joe McGinnity,59.0,mcginjo01
Urban Shocker,59.0,shockur01
Bret Saberhagen,58.9,saberbr01
Dick Allen,58.7,allendi01
Darrell Evans,58.7,evansda01
Jack Quinn,58.7,quinnja01
Evan Longoria,58.6,longoev01
Sammy Sosa,58.6,sosasa01
Rube Waddell,58.4,wadderu01
Mordecai Brown,58.2,brownmo01
John Olerud,58.2,olerujo01
Chuck Finley,57.9,finlech01
Tim Hudson,57.9,hudsoti01
Bobby Bonds,57.8,bondsbo01
Manny Machado,57.8,machama01
Enos Slaughter,57.6,slaugen01
Willie Stargell,57.6,stargwi01
Joe Torre,57.6,torrejo01
Billy Herman,57.4,hermabi01
George Sisler,57.2,sislege01
Whitey Ford,57.1,fordwh01
Frank Tanana,57.1,tananfr01
Larry Doby,56.8,dobyla01
Nolan Arenado,56.7,arenano01
Bill Terry,56.6,terrybi01
Will Clark,56.5,clarkwi02
Bill Dickey,56.4,dickebi01
Dave Stieb,56.4,stiebda01
Johnny Damon,56.3,damonjo01
Mariano Rivera,56.3,riverma01
Robin Ventura,56.1,venturo01
Orel Hershiser,56.0,hershor01
Jim Whitney,56.0,whitnji01
Luis Aparicio,55.9,aparilu01
Eppa Rixey,55.9,rixeyep01
Jim Wynn,55.8,wynnji01
Chet Lemon,55.7,lemonch01
Max Carey,55.6,careyma01
Joe Gordon,55.6,gordojo01
Bob Johnson,55.6,johnsbo04
Hank Greenberg,55.5,greenha01
Stan Hack,55.5,hackst01
Gabby Hartnett,55.5,hartnga01
George Uhle,55.5,uhlege01
Jeff Kent,55.4,kentje01
Bobby Mathews,55.4,mathebo01
David Ortiz,55.3,ortizda01
Jack Powell,55.3,powelja02
Joe Mauer,55.2,mauerjo01
Joe Sewell,54.7,seweljo01
Kevin Appier,54.5,appieke01
Joe Medwick,54.5,medwijo01
Jose Cruz,54.4,cruzjo01
Willie Keeler,54.3,keelewi01
Sam Rice,54.3,ricesa01
Vada Pinson,54.2,pinsova01
Ian Kinsler,54.1,kinslia01
Tony Perez,53.9,perezto01
Ron Cey,53.7,ceyro01
Harry Hooper,53.6,hoopeha01
Jerry Koosman,53.6,koosmje01
Bucky Walters,53.5,waltebu01
David Wells,53.5,wellsda01
Wilbur Cooper,53.4,coopewi01
Chris Sale,53.4,salech01
Jimmy Collins,53.3,colliji01
Minnie Minoso,53.3,minosmi01
Billy Pierce,53.2,piercbi02
Joe Tinker,53.2,tinkejo01
Cesar Cedeno,53.1,cedence01
Jack Clark,53.1,clarkja01
Bert Campaneris,53.0,campabe01
Dwight Gooden,53.0,goodedw01
Burleigh Grimes,52.9,grimebu01
Jose Altuve,52.8,altuvjo01
Elmer Flick,52.7,flickel01
Babe Adams,52.6,adamsba01
Fred McGriff,52.6,mcgrifr01
Bid McPhee,52.5,mcphebi01
Waite Hoyt,52.4,hoytwa01
Jose Ramirez,52.4,ramirjo01
Jim O'Rourke,52.3,orourji01
Aaron Judge,52.2,judgeaa01
Norm Cash,52.0,cashno01
Larry Jackson,52.0,jacksla01
Lance Berkman,51.9,berkmla01
Dustin Pedroia,51.9,pedrodu01
Johan Santana,51.7,santajo01
Earl Averill,51.6,averiea02
Luis Gonzalez,51.6,gonzalu03
Brian Downing,51.5,downibr01
Toby Harrah,51.5,harrato01
Bobby Doerr,51.4,doerrbo01
Carl Mays,51.3,maysca01
Al Orth,51.3,orthal01
Brian Giles,51.1,gilesbr02
Bryce Harper,51.1,harpebr03
Kirby Puckett,51.1,puckeki01
Bob Elliott,50.9,elliobo01
Tony Phillips,50.9,phillto02
Torii Hunter,50.7,hunteto01
Theodore Breitenstein,50.6,breitte01
Mark Teixeira,50.6,teixema01
